Amazon EBS CSI Driver, CSI Driver, "pod EndsWith ebs-csi-node"
Amazon EFS CSI Driver, Storage, "container equals aws-efs-csi-driver"
Amazon EFS CSI Driver, Storage, "pod startswith efs-csi-controller-"
Amazon EFS CSI Driver, Storage, "pod startswith efs-csi-node-"
Amazon Guard Duty, Security, "container contains aws-guardduty-agent"
Apache Airflow, Data Pipeline, "container equals airflow-scheduler"
Apache Airflow, Data Pipeline, "container equals airflow-webserver"
Apache Airflow, Data Pipeline, "namespace equals airflow"
Apache APISIX, API Gateway, "container equals apisix-ingress-controller"
Apache APISIX, API Gateway, "container equals apisix"
Apache APISIX, API Gateway, "namespace equals apisix"
Apache Cassandra, Database, "container equals cassandra"
Apache Cassandra, Database, "namespace equals cassandra"
Apache Flink, Data Pipeline, "container equals flink-kubernetes-operator"
Apache Flink, Data Pipeline, "container equals flink-main-container"
Apache Flink, Data Pipeline, "namespace equals flink"
Apache Hadoop, Data Pipeline, "container equals hdfs-namenode"
Apache Hadoop, Data Pipeline, "container equals yarn-resourcemanager"
Apache Hadoop, Data Pipeline, "namespace equals hadoop"
Apache Kafka, Data Pipeline, "container equals kafka"
Apache Skywalking Operator, Application Performance Management, "namespace equals skywalking-swck-system"
Apache Skywalking, Application Performance Management, "namespace equals skywalking-system"
Apache Skywalking, Application Performance Management, "namespace equals skywalking"
Apache Spark, Data Pipeline, "container equals spark-kubernetes-driver"
Apache Spark, Data Pipeline, "container equals spark-operator"
Apache Spark, Data Pipeline, "namespace equals spark"
Apache Zookeeper, Distributed Computing, "container equals zookeeper"
Aqua Security, Security, "container equals aqua-agent"
Aqua Security, Security, "namespace equals aqua"
Aqua Security, Security, "pod startswith aqua-kube-enforcer-"
Argo CD (OpenShift), Deployment, "namespace equals openshift-gitops"
Argo CD, Deployment, "namespace equals argocd"
Argo CD, Deployment, "pod startswith argocd-server"
Argo Events, Workflow Management, "container equals argo-events-controller-manager"
Argo Rollouts, Deployment, "container equals argo-rollouts"
Argo Workflows, Workflow Management, "container equals workflow-controller"
AWS VPC CNI, CNI, "container equals aws-node"
Backstage, Internal Developer Platform, "container equals backstage"
Backstage, Internal Developer Platform, "namespace equals backstage"
Calico, CNI, "namespace equals calico-system"
Calico, CNI, "pod startswith calico-node"
Cast.ai, Node Autoscaler, "pod startswith castai-agent"
Ceph, Storage, "container equals rook-ceph-operator"
Ceph, Storage, "namespace equals rook-ceph"
Cert Manager, Security, "container equals cert-manager-controller"
Cert Manager, Security, "namespace equals cert-manager"
Cilium, CNI, "pod startswith cilium-"
ClickHouse, Database, "container equals clickhouse"
ClickHouse, Database, "pod startswith clickhouse-operator"
Cloudability, FinOps, "namespace equals cloudability"
Cloudability, FinOps, "namespace equals ibm-finops-agent"
Cloudability, FinOps, "pod contains finops-agent"
Cloudability, FinOps, "pod contains finopsagent"
CloudNativePG, Database Operator, "pod contains cloudnative-pg"
CloudNativePG, Database Operator, "pod startswith cnpg-controller-manager"
CloudZero, FinOps, "container equals cloudzero-agent"
CloudZero, FinOps, "namespace equals cloudzero"
Cluster API, Cluster Management, "namespace equals capi-system"
Cluster API, Cluster Management, "pod contains capi-controller-manager"
Cluster Autoscaler, Node Autoscaler, "container equals cluster-autoscaler"
Cluster Autoscaler, Node Autoscaler, "pod contains cluster-autoscaler"
ConfigHub, Configuration Management, "container equals confighub"
ConfigHub, Configuration Management, "namespace equals confighub"
containerd, Container Runtime, "container equals containerd"
Contour, Networking & Ingress, "container equals contour"
Contour, Networking & Ingress, "namespace equals projectcontour"
CoreDNS, Control Plane Component, "pod Contains coredns"
Coroot, Observability, "container equals coroot"
Coroot, Observability, "namespace equals coroot"
Cortex, Observability, "container equals cortex"
Cortex, Observability, "namespace equals cortex"
Cozystack, Cloud Platform, "container equals cozystack-operator"
Cozystack, Cloud Platform, "namespace equals cozystack"
CRI-O, Container Runtime, "container equals crio"
Crossplane, Cloud Management, "namespace equals crossplane-system"
Crossplane, Cloud Management, "pod startswith crossplane"
Cyclops UI, Internal Developer Platform, "container equals cyclops-backend"
Cyclops UI, Internal Developer Platform, "namespace equals cyclops"
Cyclops UI, Internal Developer Platform, "pod startswith cyclops-ui-"
Datadog, Observability, "pod startswith datadog"
DevZero, Internal Developer Platform, "container equals devzero-agent"
DevZero, Internal Developer Platform, "namespace equals devzero"
Directiv, Workflow Automation, "namespace equals directiv"
Directiv, Workflow Automation, "pod contains directiv-flow"
Dynatrace, Observability, "namespace Equals dynatrace"
Elasticsearch, Enterprise Search, "container startswith elasticsearch"
Elasticsearch, Enterprise Search, "pod startswith elastic-operator"
Emissary-Ingress, Ingress, "container equals emissary-ingress"
Envoy Gateway, Ingress, "namespace equals envoy-gateway-system"
Envoy Gateway, Ingress, "pod startswith envoy-gateway-"
Exostellar SDG, AI Infrastructure, "container equals sdg-controller"
Exostellar SDG, AI Infrastructure, "namespace equals exostellar-system"
Exostellar SDG, AI Infrastructure, "pod startswith exostellar-sdg-"
External Secrets Operator, Secret Management, "container equals external-secrets"
External Secrets Operator, Secret Management, "namespace equals external-secrets"
F5 Ingress, Networking & Ingress, "container equals k8s-bigip-ctlr"
F5 Ingress, Networking & Ingress, "namespace equals f5-ingress"
F5 Ingress, Networking & Ingress, "pod contains f5-ingress"
Falco, Security, "container equals falco"
Falco, Security, "namespace equals falco"
Finout, FinOps "container equals finout-agent"
Finout, FinOps "namespace equals finout"
Flagger, Deployment, "namespace equals flagger"
Flagger, Deployment, "pod equals flagger"
Flannel, CNI, "container equals kube-flannel"
Fluent Bit, Observability, "container equals fluent-bit"
Fluent Bit, Observability, "pod startswith fluent-bit-"
Flux CD, GitOps, "container equals source-controller"
Flux CD, GitOps, "namespace equals flux-system"
GarageFS, Storage, "container equals garage"
GarageFS, Storage, "namespace equals garage"
Gatekeeper, Policy Engine, "namespace equals gatekeeper-system"
Gatekeeper, Policy Engine, "pod startswith gatekeeper-controller-manager"
GitHub Actions runners, Workflow Management, "namespace equals arc-runners"
GitHub Actions runners, Workflow Management, "namespace equals gha-runners-system"
GitLab runners, Workflow Management, "namespace equals gitlab-runner-system"
GitLab runners, Workflow Management, "namespace equals gitlab-runner"
Google gVisor, Container Runtime, "container equals runsc"
Google gVisor, Container Runtime, "namespace contains gvisor"
Google gVisor, Container Runtime, "pod contains gvisor"
Grafana Alloy, Observability, "container equals alloy"
Grafana Alloy, Observability, "pod contains alloy-logs"
Grafana Alloy, Observability, "pod startswith alloy-"
Grafana Dashboards, Observability, "container equals grafana"
Grafana Loki, Observability, "container equals loki"
Grafana Loki, Observability, "namespace equals loki"
Grafana Mimir, Observability, "container equals mimir"
Grafana Mimir, Observability, "namespace equals mimir"
Grafana Mimir, Observability, "pod startswith mimir"
Grafana Tempo, Observability, "container equals tempo"
Grafana Tempo, Observability, "namespace equals tempo"
HAMi, AI Infrastructure, "container equals hami-device-plugin"
HAMi, AI Infrastructure, "container equals hami-scheduler"
Harbor, Artifact Management, "pod contains harbor-core"
Harness Cloud Cost Management, FinOps, "container equals ccm-agent"
Harness Cloud Cost Management, FinOps, "pod contains harness-ccm"
Harness Cloud Cost Management, FinOps, "pod contains kubernetes-dh-delegate"
HashiCorp Vault, Secret Management, "container equals vault"
HashiCorp Vault, Secret Management, "namespace equals vault"
Headlamp, Developer Tools, "container equals headlamp"
Headlamp, Developer Tools, "namespace equals headlamp"
ingress-nginx, Networking & Ingress, "namespace equals ingress-nginx"
ingress-nginx, Networking & Ingress, "pod startswith ingress-nginx"
Istio (Ambient), Service Mesh, "container equals ztunnel"
Istio (Ambient), Service Mesh, "pod contains waypoint"
Istio (Sidecar), Service Mesh, "container Contains istio-proxy"
Jaeger, Observability, "container equals jaeger-query"
Jaeger, Observability, "namespace equals jaeger"
Jenkins, CI/CD, "namespace equals jenkins"
Jenkins, CI/CD, "pod startswith jenkins"
JenkinsX, CI/CD, "container equals jx-git-operator"
JenkinsX, CI/CD, "namespace equals jx"
Jfrog Artifactory, Artifact Management, "namespace equals artifactory"
JupyterHub, AI Infrastructure, "namespace equals jupyter"
JupyterHub, AI Infrastructure, "pod startswith jupyter"
KAgent, Infrastructure Automation, "container equals kagent"
KAgent, Infrastructure Automation, "namespace equals kagent"
KAI Scheduler, AI Infrastructure, "namespace equals kai-scheduler"
KAI Scheduler, AI Infrastructure, "pod startswith scheduler-"
Kaito, AI Infrastructure, "container equals kaito-controller-manager"
Kaito, AI Infrastructure, "namespace equals kaito-system"
Kaito, AI Infrastructure, "pod contains kaito-gpu-provisioner"
Kamaji, Cluster Management, "container equals kamaji-controller-manager"
Kamaji, Cluster Management, "namespace equals kamaji-system"
Kargo, Deployment, "namespace equals kargo-system"
Kargo, Deployment, "pod startswith kargo-api"
Karpenter, Node Autoscaler, "pod startswith karpenter"
Kayenta, Deployment, "container equals kayenta"
KEDA, Pod Autoscaler, "pod startswith keda-operator"
Keycloak, Identity and Access Management, "container equals keycloak"
Keycloak, Identity and Access Management, "namespace equals keycloak"
Kgateway, API Gateway, "container equals kgateway"
Kgateway, API Gateway, "namespace equals kgateway-system"
Kgateway, API Gateway, "pod contains kgateway-controller"
Kgateway, API Gateway, "pod contains kgateway-operator"
Kiali, Management Console for Istio, "container equals kiali"
Kiali, Management Console for Istio, "namespace equals kiali-operator"
Kibana, Enterprise Search, "container equals kibana"
Kibana, Enterprise Search, "pod contains kibana"
Knative, Serverless Infrastructure, "namespace equals knative-eventing"
Knative, Serverless Infrastructure, "namespace equals knative-serving"
Komodor, Incident Management, "namespace contains komodor"
Komodor, Incident Management, "pod starts with komodor-agent"
Kong Gateway, API Gateway, "container equals ingress-controller"
Kong Gateway, API Gateway, "namespace equals kong"
Kong Gateway, API Gateway, "pod startswith kong-"
Kong Konnect, API Management, "namespace equals konnect"
Kong Konnect, API Management, "pod startswith konnect-"
Kong Mesh, Service Mesh, "container equals kuma-sidecar"
Kong Mesh, Service Mesh, "namespace equals kong-mesh-system"
Kong Mesh, Service Mesh, "pod startswith kong-mesh-control-plane"
Kubecost, Kubernetes Optimization, "container equals cost-model"
Kubecost, Kubernetes Optimization, "namespace equals kubecost"
Kubecost, Kubernetes Optimization, "pod startswith kubecost"
Kubeflow, AI Infrastructure, "namespace equals kubeflow"
KubeRay, AI Infrastructure, "pod startswith kuberay-operator-"
Kubescape, Security, "container equals kubescape-operator"
Kubescape, Security, "namespace equals kubescape"
Kubescape, Security, "pod contains kubescape"
KubeShare, AI Infrastructure, "container equals kubeshare-device-manager"
KubeShare, AI Infrastructure, "container equals kubeshare-scheduler"
KubeShare, AI Infrastructure, "namespace equals kubeshare"
KubeStellar, Cluster Management, "container equals kubestellar-controller-manager"
KubeStellar, Cluster Management, "namespace equals kubestellar-system"
KubeVirt, Virtualization, "container equals virt-launcher"
KubeVirt, Virtualization, "namespace equals kubevirt"
KubeVirt, Virtualization, "pod contains virt-controller"
Kubex Automation Engine, Kubex Automation, "pod Contains kubex-automation-engine"
Kubex kube-state-metrics, Kubex Data Collection, "pod contains kubex-kube-state-metrics"
Kubex node-exporter, Kubex Data Collection, "pod Contains kubex-prometheus-node-exporter"
Kubex Prometheus Server, Kubex Data Collection, "pod Contains kubex-prometheus-server"
Kubex Storage Metrics Collector, Kubex Data Collection, "pod contains k8s-ephemeral-storage-metrics"
kubriX, Internal Developer Platform, "container equals kubrix-operator"
kubriX, Internal Developer Platform, "namespace equals kubrix-system"
Kueue, AI Infrastructure, "container equals kueue"
Kueue, AI Infrastructure, "namespace equals kueue-system"
Kyverno, Policy Engine, "pod startswith kyverno-admission-controller"
Linkerd, Service Mesh, "container equals linkerd-proxy"
Linkerd, Service Mesh, "namespace equals linkerd"
LINSTOR, Storage, "container equals linstor-controller"
LINSTOR, Storage, "container equals linstor-satellite"
LINSTOR, Storage, "namespace equals linstor"
Litmus, Chaos Engineering, "namespace startswith litmus"
Litmus, Chaos Engineering, "pod startswith chaos-litmus-frontend"
Longhorn, Storage, "container equals longhorn-manager"
Longhorn, Storage, "namespace equals longhorn-system"
MetalLB, Load Balancer, "container equals speaker"
MetalLB, Load Balancer, "namespace equals metallb-system"
metrics-server (HPA), Pod Autoscaler, "pod startswith metrics-server"
MinIO, Storage, "container equals minio"
MinIO, Storage, "namespace equals minio"
MongoDB Community Operator, Database Operator, "container equals mongodb-kubernetes-operator"
MongoDB Community Operator, Database Operator, "pod contains mongodb-kubernetes-operator"
MongoDB, Database, "container equals mongodb"
MongoDB, Database, "namespace equals mongodb"
MySQL, Database, "container equals mysql"
MySQL, Database, "namespace equals mysql"
n8n, Workflow Management, "namespace equals base-n8n"
n8n, Workflow Management, "pod startswith n8n"
nginx, Web Server "container equals nginx"
nOps, FinOps, "container equals nops-agent"
nOps, FinOps, "namespace equals nops"
nOps, FinOps, "pod contains nops-operator"
NOS, AI Infrastructure, "container equals nos"
NOS, AI Infrastructure, "namespace equals nos-system"
NOS, AI Infrastructure, "pod contains nos-controller"
NOS, AI Infrastructure, "pod contains nos-operator"
NVIDIA DCGM Exporter, AI Infrastructure, "namespace equals gpu-operator"
NVIDIA DCGM Exporter, AI Infrastructure, "pod contains nvidia-dcgm-exporter"
NVIDIA GPU Operator, AI Infrastructure, "container equals "gpu-operator"
Odigos, Observability, "namespace equals odigos-system"
Odigos, Observability, "pod equals odiglet"
OpenCost, FinOps, "container equals opencost"
OpenCost, FinOps, "namespace equals opencost"
OpenEBS, Storage, "namespace equals openebs"
OpenEBS, Storage, "pod contains openebs-"
OpenSearch, Enterprise Search, "container equals opensearch-dashboards"
OpenSearch, Enterprise Search, "container equals opensearch"
OpenSearch, Enterprise Search, "namespace equals opensearch"
OpenTelemetry Collector, Observability, "pod contains otel-collector-agent"
OpenTelemetry Operator, Observability, "pod startswith opentelemetry-operator"
Percona Operator for MongoDB, Database Operator, "container equals percona-server-mongodb-operator"
Percona Operator for MongoDB, Database Operator, "namespace equals pxc-operator"
Percona Operator for MongoDB, Database Operator, "pod startswith percona-server-mongodb-operator-"
Percona Operator for MySQL, Database Operator, "container equals percona-xtradb-cluster-operator"
Percona Operator for MySQL, Database Operator, "namespace equals percona"
Percona Operator for MySQL, Database Operator, "pod startswith percona-xtradb-cluster-operator-"
Percona Operator for PostgreSQL, Database Operator, "container equals postgresql-operator"
Percona Operator for PostgreSQL, Database Operator, "pod startswith percona-postgresql-operator-"
PerfectScale, Kubernetes Optimization, "container equals perfectscale-agent"
PerfectScale, Kubernetes Optimization, "pod startswith psc-agent-operator"
Pixie, Observability, "container contains vizier-"
Pixie, Observability, "pod contains vizier-"
Portworx, Storage, "container equals portworx-operator"
Portworx, Storage, "namespace equals portworx"
PostgreSQL, Database, "container equals postgres"
Prometheus, Observability, "container Contains prometheus"
Pyroscope, Observability, "pod startswith pyroscope-"
Rancher, Cluster Management, "container equals rancher"
Rancher, Cluster Management, "namespace equals cattle-system"
Ray, AI Infrastructure, "container equals kuberay-operator"
Ray, AI Infrastructure, "namespace equals kuberay"
Redis, Database, "container equals redis-master"
Redit Operator, Database Operator, "pod startswith redis-operator"
Redpanda, Data streaming, "pod beginswith redpanda"
Redpanda, Database, "container equals redpanda"
Reflector, Configuration Management, "container equals reflector"
Robusta, Incident Management, "namespace equals robusta"
Robusta, Incident Management, "pod contains robusta-forwarder-"
Robusta, Incident Management, "pod contains robusta-runner-"
ScaleOps, Kubernetes Optimization, "container equals scaleops-agent"
ScaleOps, Kubernetes Optimization, "namespace Equals scaleops-system"
SeaweedFS, Storage, "container equals seaweedfs"
SeaweedFS, Storage, "namespace equals seaweedfs"
SeaweedFS, Storage, "pod contains seaweedfs-filer"
Sedai, Kubernetes Optimization, "container equals sedai-agent"
Sedai, Kubernetes Optimization, "pod startswith sedai-smart-agent"
Seldon Core, AI Infrastructure, "container equals seldon-container-engine"
Seldon Core, AI Infrastructure, "container equals seldon-core-operator"
Seldon Core, AI Infrastructure, "namespace equals seldon-system"
SOPS, Secret Management, "container equals sops-decrypter"
SOPS, Secret Management, "container equals sops-operator"
SOPS, Secret Management, "namespace equals sops-operator"
Spinnaker, Deployment, "namespace equals spinnaker"
Spot Ocean, FinOps, "container equals ocean-kubernetes-controller"
Spot Ocean, FinOps, "namespace equals spot-system"
Spot Ocean, FinOps, "pod contains ocean-kubernetes-controller"
StackStorm, Workflow Management, "namespace equals stackstorm"
StackStorm, Workflow Management, "pod contains stackstorm"
Stakater Reloader, Utility, "container equals reloader"
Stakater Reloader, Utility, "namespace equals reloader"
Stakater Reloader, Utility, "pod startswith reloader"
StarRocks, Database, "namespace equals starrocks"
StarRocks, Database, "pod startswith starrockscluster"
StormForge, Kubernetes Optimization, "namespace equals stormforge-system"
StormForge, Kubernetes Optimization, "pod startswith stormforge-agent"
Strimzi, Data Pipeline Operator, "pod startswith strimzi-cluster-operator"
Tekton, Deployment, "container equals tekton-pipelines-controller"
Tekton, Deployment, "namespace equals tekton-pipelines"
Tekton, Deployment, "pod contains tekton-pipelines"
Tetragon, Security, "container equals tetragon"
Tetragon, Security, "pod startswith tetragon-"
Thanos, Observability, "pod contains thanos-query"
Traefik, Networking & Ingress, "container equals traefik"
Traefik, Networking & Ingress, "namespace equals traefik"
Trivy, Security, "container equals trivy-operator"
Trivy, Security, "namespace equals trivy-system"
Turbonomic, Kubernetes Optimization, "container equals kubeturbo"
Turbonomic, Kubernetes Optimization, "namespace equals turbonomic"
Valkey, Database, "container equals valkey"
Valkey, Database, "namespace equals valkey"
Velero, Backup, "namespace equals velero"
Velero, Backup, "pod startswith velero"
VictoriaLogs, Observability, "container equals victoria-logs"
VictoriaLogs, Observability, "container equals vlogs"
VictoriaMetrics, Observability, "container equals vm-operator"
VictoriaMetrics, Observability, "container equals vmsingle"
VictoriaMetrics, Observability, "namespace equals victoria-metrics"
VictoriaTraces, Observability, "container equals victoria-traces"
VictoriaTraces, Observability, "container equals vtstorage"
VPA Recommender, Pod Autoscaler, "pod startswith vpa-recommender"
VPA Updater, Pod Autoscaler, "pod startswith vpa-updater"
